,n,p,r,num_anchors,TV_err_V,TV_err_U,TV_err_P_hat,TV_err_P,L2_err_V,L2_err_U,L2_err_P_hat,L2_err_P,sim_time,decomp_time,trial,ln_n,ln_TV_err_V,ln_TV_err_U
27,30000000,1000,6,50,0.2490939511214266,138.07775579292047,146.873327102955,50.323230455253686,7.002698894347539e-05,5.365296096376342,0.1310150360123577,0.018102379142302,365.8493835926056,2.519791603088379,2,17.216707939626428,-1.3899251399416894,4.9278169742548945
28,30000000,1000,6,50,0.2445832788897128,136.7547189188159,146.7076608977789,51.483767963394286,6.750392595274617e-05,5.344339024674127,0.1319234824054446,0.0189922134083987,368.2980999946594,2.500041246414185,3,17.216707939626428,-1.4081994191053917,4.918188948339739
29,30000000,1000,6,50,0.2367568871493679,141.71189336281742,149.23493377896136,50.15396269310324,7.195519742423164e-05,5.576677506583836,0.1360615242749313,0.017933327193199,367.79504799842834,2.5481069087982178,4,17.216707939626428,-1.440721456951029,4.9537960765746885
0,800000,1000,6,75,6.706204231024979,417.4662224013214,408.5565687493145,124.30017090521646,0.0381042065436859,45.6910403189963,0.5975823227985289,0.0592604239707884,9.957581281661987,2.673823118209839,0,13.592367006650065,1.903033102549721,6.034203636589997
1,800000,1000,6,75,6.950198396262287,351.97707144999725,408.1508791106289,115.79242926149357,0.0391636167794096,33.00535414063302,0.5964293389284602,0.0523636805850567,10.485083103179932,2.790304183959961,1,13.592367006650065,1.9387702053940545,5.863566035550386
2,800000,1000,6,75,6.371817831451788,385.464638280964,409.10537999749386,121.16812183157268,0.0367816939318959,40.24584802997142,0.603765826127507,0.058925740450488,9.791292190551758,2.5866453647613525,2,13.592367006650065,1.8518848027269825,5.954449459304314
3,800000,1000,6,75,7.120632773775236,386.53859935889295,409.7308538298581,185.24133944395945,0.04227303786869,40.58547540847008,0.6000933144618346,0.1373756860089746,9.687626600265505,2.67494797706604,3,13.592367006650065,1.9629965941961791,5.957231732016046
4,800000,1000,6,75,6.109818557884861,405.5561174454096,408.7114610604394,121.94995713737748,0.0318039547790837,43.64722365611925,0.5990871675543761,0.0559780799205737,9.84873366355896,2.783278465270996,4,13.592367006650065,1.8098970768153797,6.00525925472119
5,1000000,1000,6,75,6.570144029166205,292.36828015947776,373.4469017177445,112.59269415385316,0.0369342503143562,22.75010997294934,0.4967271293159815,0.0508624145420907,12.280858755111694,2.756239652633667,0,13.815510557964274,1.88253575450375,5.678014241004398
6,1000000,1000,6,75,6.908088273988184,321.27632026401375,372.33999131282576,111.85254439814872,0.0390079141188056,27.1975399067926,0.4933495707789007,0.0502710629641593,12.381372690200806,2.785491943359375,1,13.815510557964274,1.932692938718738,5.7723015636362085
7,1000000,1000,6,75,6.527786220557705,398.3519087330417,372.5285191226527,118.1598379120255,0.0339173178261431,42.460835409496674,0.4939675209877039,0.0547010840839026,12.177061557769775,2.707259178161621,2,13.815510557964274,1.876067869049244,5.987335807412841
8,1000000,1000,6,75,7.277796943362723,370.1023116392845,372.5733474772133,138.24826385089338,0.0410988885016094,36.72837845283833,0.4939289412127338,0.073528431037542,12.307933807373049,2.711618423461914,3,13.815510557964274,1.9848281987406722,5.9137794853582415
9,1000000,1000,6,75,7.034413757033909,332.6699544903408,372.6867672051581,114.45901010439118,0.0384824440075906,28.35124228315942,0.4938287297276394,0.0520095337765047,12.30622100830078,2.793067693710327,4,13.815510557964274,1.950814354760532,5.807150870832013
10,2000000,1000,6,75,6.885075204430788,285.91658158291847,283.27057174003926,101.7803894450195,0.0379803423439076,21.35786716868156,0.2774039937061938,0.0450631569471223,26.19586181640625,2.7285494804382324,0,14.508657738524219,1.9293560550593494,5.655700095488074
11,2000000,1000,6,75,6.83351428888313,312.59509499536694,285.00231192490105,103.9148288926657,0.039259824684111,25.687904847486514,0.2819369472159142,0.0455245707938846,24.32429838180542,2.6625566482543945,1,14.508657738524219,1.9218390784255996,5.744908726870563
